,brand,processor_brand,processor_name,ram,ram_type,ssd,clock,gpu,gpu_memory,price
521,1,1,0,8,0,0.512,4.4,8,0,35144
522,1,0,7,8,3,0.512,4.3,1,0,35990
523,6,1,1,16,0,0.512,4.6,5,0,53990
524,4,0,6,8,0,0.512,4.0,1,0,45970
525,1,1,1,16,0,0.512,4.4,4,0,48990
526,1,1,0,8,0,0.512,4.4,7,0,34990
527,1,1,2,16,1,0.512,5.0,18,6,104990
528,4,1,1,8,0,0.512,4.4,4,0,57990
529,6,1,1,16,0,0.512,4.6,5,0,54990
530,1,1,1,16,0,0.512,4.6,12,4,53990
531,1,0,6,16,0,0.512,4.0,1,0,39990
532,0,1,1,16,3,0.512,4.7,5,0,82990
533,4,1,1,16,0,0.512,4.4,5,0,54990
534,1,1,1,16,1,0.512,4.7,18,6,99990
535,1,1,2,16,0,1.0,3.2,17,8,97042
536,1,1,0,8,3,0.512,3.8,7,0,26990
537,1,0,6,8,0,0.512,4.0,1,0,49990
538,5,1,0,8,0,0.256,4.4,7,0,38490
539,0,1,2,16,3,0.512,5.0,5,0,105990
540,1,0,6,16,1,0.512,4.55,13,4,68990
541,1,1,1,8,1,0.512,4.6,12,4,60990
542,5,1,1,16,0,1.0,4.4,5,0,74990
543,0,1,1,16,3,0.512,4.6,4,0,109990
545,1,1,1,16,0,0.512,4.2,5,0,41990
546,1,1,1,8,0,0.512,3.3,13,4,58990
547,4,0,6,8,0,0.512,4.0,1,0,45010
548,1,1,2,16,1,0.512,5.0,19,8,147990
549,1,1,1,8,0,0.512,4.4,13,4,68990
550,7,1,1,8,2,0.512,4.6,5,0,71990
551,6,1,1,16,0,0.256,3.3,19,8,86990
552,1,1,1,8,0,0.512,5.0,9,4,46500
553,1,0,7,8,3,0.512,4.3,1,0,37031
554,1,1,1,16,3,0.512,4.7,5,0,69990
555,6,1,1,16,0,0.512,4.4,12,4,49990
556,4,1,2,16,0,0.512,4.7,13,4,84990
558,6,1,2,16,1,1.0,3.6,18,6,103990
559,1,0,8,16,0,0.256,4.4,14,4,81990
560,1,1,0,8,3,0.512,4.5,7,0,40990
561,6,1,2,16,1,0.512,3.6,12,4,94990
562,6,1,2,16,1,1.0,4.7,20,8,129990
563,1,1,3,16,1,1.0,5.4,19,8,139990
564,6,1,2,16,1,1.0,4.9,19,8,117990
565,7,1,1,16,1,0.512,4.6,5,0,131990
566,1,1,1,8,0,0.512,4.4,9,4,51990
567,1,1,1,8,0,0.512,4.4,5,0,52990
568,1,1,1,8,0,0.256,4.5,13,4,77000
569,6,1,2,16,1,0.512,3.6,13,6,92990
570,1,0,6,8,2,0.512,4.5,1,0,46990
571,1,1,1,8,0,0.512,4.1,9,4,55390
572,5,0,6,8,0,0.512,4.2,12,4,57990
573,6,1,2,8,1,0.512,3.2,13,6,79990
574,1,0,7,8,3,0.512,2.8,1,0,33990
576,1,0,6,16,0,0.512,4.0,9,4,51990
